what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408695980991
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408695987730
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408696028445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408696033868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408696036619
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408696039347
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408696042490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408696054005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408696324743
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408696328668
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1408696330253
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1408696330274
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408696333041
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1408696333041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408696334254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408696418898
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408696430442
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408696440806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408696441868
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1408696442186
