what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1408717100264
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1408717100265
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1408717100305
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1408717100306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717112069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717115485
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408717130770
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1408717132973
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1408717133128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717135294
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717139679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408717140413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408717143258
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717147374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717177720
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1408717186281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408717193205
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408717206677
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717217488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717235293
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408717240359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717250313
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717260899
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408717265055
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408717268094
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717269930
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717281571
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408717289280
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717290651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717294756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408717300584
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1408717301762
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717313966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717318686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717321880
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717323925
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717324955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717326549
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717327517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717328917
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408717335033
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717341709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717345471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408717346754
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717347797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717370890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717373836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717429998
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717448080
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717489888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408717497000
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408718627137
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1408718633139
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408718635154
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408718635233
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408718646190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408718684825
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408718693282
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408718698834
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.ui",1408718700771
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408718701447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408718702656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408718704057
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408718732050
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408718748288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408718752328
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408718753658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719853639
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1408719854786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719859505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719863702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719877856
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719881223
opened,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408719881271
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408719881312
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1408719881993
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408719883154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408719883928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408719886913
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719887842
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719889070
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408719906096
closed,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408719906097
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1408719907331
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1408719907494
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1408719907532
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1408719909004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719909063
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719910371
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1408719910374
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1408719910374
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408719913676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408719924827
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408719939889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719941033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719949483
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408719950577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720118743
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408720120433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720134015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720161338
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720168072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720172205
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720177977
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720240236
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408720244992
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408720247856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720248987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720257411
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1408720260777
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408720265668
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408720271703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720273379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720281869
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408720283471
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720286740
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720288484
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720289620
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720291450
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720292556
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720294201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720295732
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720296494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720297252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408720349384
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408720351330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408720356052
