what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701440708
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408701451536
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408701452130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408701456917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701458839
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701460201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701463708
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701470213
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701472278
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701472566
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701472773
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701473189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701473750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701473950
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701474189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701474502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701474796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701475120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701475351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701475606
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701475857
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1408701476333
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408701480671
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408701490841
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408701493071
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1408701495260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701496670
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701499219
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1408701499223
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408701500667
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1408701509477
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408701511774
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701511795
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701513147
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408701513183
closed,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408701513183
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1408701515280
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701516447
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701517552
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1408701517555
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408701518015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701520054
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701528149
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408701593381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701595808
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701600116
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408701604668
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1408701614580
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.101.v201102111830,"org.eclipse.wst.xsl.debug.ui",1408701622375
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701627165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408701646999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701648643
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408701656676
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1408701656723
closed,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408701656723
opened,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408701659502
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408701659533
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701661946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701664160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701664172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408701665784
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1408701665905
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1408701665926
