what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707518013
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707523016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707526252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408707529533
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408707562001
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707569898
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707601732
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408707611806
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408707619797
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408707660701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707663925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707680398
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707694254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707882341
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408707892412
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707894196
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707908477
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408707963510
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708075340
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408708076903
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408708096103
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708097563
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708105483
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408708114315
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408708117003
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1408708127691
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408708129103
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408708147868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408708150438
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408708152148
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408708161788
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708162973
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708176070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708208182
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708395525
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408708399271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1408708431700
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1408708438940
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1408708442138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408708444161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708449622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708652950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708670198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708671172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408708671175
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408714292628
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408714327405
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1408714328383
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408714330567
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408714338853
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1408714340621
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408714345107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408714346210
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1408714350016
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408714353850
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408714355323
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.3.v201011040143,"org.eclipse.wst.jsdt.debug.core",1408714355337
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1408714355435
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1408714355604
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1408714355605
